time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-01-09 12:30:00-05:00,MyStrategy,fcc740af0db545af9f464f250c7e0c5f,SPY,buy,market,fill,1,gtc,0.0,1,stock,326.1600036621094,1.0,0.0
2020-01-09 15:30:00-05:00,MyStrategy,944f24b347124366a9e6444ef282d37f,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-09 15:30:00-05:00,MyStrategy,944f24b347124366a9e6444ef282d37f,SPY,buy,market,fill,1,gtc,0.0,1,stock,326.1600036621094,1.0,0.0
2020-01-10 09:30:00-05:00,MyStrategy,1ffdbd5378f84440bc1d1604cde12156,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-10 09:30:00-05:00,MyStrategy,1ffdbd5378f84440bc1d1604cde12156,SPY,buy,market,fill,1,gtc,0.0,1,stock,327.2900085449219,1.0,0.0
2020-01-10 12:30:00-05:00,MyStrategy,522781b325ba4784aa59e3a16a884378,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-10 12:30:00-05:00,MyStrategy,522781b325ba4784aa59e3a16a884378,SPY,buy,market,fill,1,gtc,0.0,1,stock,327.2900085449219,1.0,0.0
2020-01-10 15:30:00-05:00,MyStrategy,b5b856ff51254c859ae53b3cacca49dd,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-10 15:30:00-05:00,MyStrategy,b5b856ff51254c859ae53b3cacca49dd,SPY,buy,market,fill,1,gtc,0.0,1,stock,327.2900085449219,1.0,0.0
2020-01-13 09:30:00-05:00,MyStrategy,02c408d885f2412390d445786276ca0d,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-13 09:30:00-05:00,MyStrategy,02c408d885f2412390d445786276ca0d,SPY,buy,market,fill,1,gtc,0.0,1,stock,326.3900146484375,1.0,0.0
2020-01-13 12:30:00-05:00,MyStrategy,303ecbdb96dc4d7ca515e44d8c4fbb33,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-13 12:30:00-05:00,MyStrategy,303ecbdb96dc4d7ca515e44d8c4fbb33,SPY,buy,market,fill,1,gtc,0.0,1,stock,326.3900146484375,1.0,0.0
2020-01-13 15:30:00-05:00,MyStrategy,5e7412e7104347fe8e9a70bd7b18d4ed,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-13 15:30:00-05:00,MyStrategy,5e7412e7104347fe8e9a70bd7b18d4ed,SPY,buy,market,fill,1,gtc,0.0,1,stock,326.3900146484375,1.0,0.0
2020-01-14 09:30:00-05:00,MyStrategy,0331987e98e44933bce9f52b242790fc,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-14 09:30:00-05:00,MyStrategy,0331987e98e44933bce9f52b242790fc,SPY,buy,market,fill,1,gtc,0.0,1,stock,327.4700012207031,1.0,0.0
2020-01-14 12:30:00-05:00,MyStrategy,94559d2219f14a088b12b4b737f80df2,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-14 12:30:00-05:00,MyStrategy,94559d2219f14a088b12b4b737f80df2,SPY,buy,market,fill,1,gtc,0.0,1,stock,327.4700012207031,1.0,0.0
2020-01-14 15:30:00-05:00,MyStrategy,724318d049264ff687a46d090f7c0da1,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-14 15:30:00-05:00,MyStrategy,724318d049264ff687a46d090f7c0da1,SPY,buy,market,fill,1,gtc,0.0,1,stock,327.4700012207031,1.0,0.0
2020-01-15 09:30:00-05:00,MyStrategy,5e6ef4a3be1c414297f71cbe2de70618,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-15 09:30:00-05:00,MyStrategy,5e6ef4a3be1c414297f71cbe2de70618,SPY,buy,market,fill,1,gtc,0.0,1,stock,327.3500061035156,1.0,0.0
2020-01-15 12:30:00-05:00,MyStrategy,013cb9eb455746579ab4898693dce1e6,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-15 12:30:00-05:00,MyStrategy,013cb9eb455746579ab4898693dce1e6,SPY,buy,market,fill,1,gtc,0.0,1,stock,327.3500061035156,1.0,0.0
2020-01-15 15:30:00-05:00,MyStrategy,d1bd015910c047b3916d27922e45f5c1,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-15 15:30:00-05:00,MyStrategy,d1bd015910c047b3916d27922e45f5c1,SPY,buy,market,fill,1,gtc,0.0,1,stock,327.3500061035156,1.0,0.0
